x (m),y (m),u_x (m),u_y (m),u_magnitude (m),von_mises (GPa),stress_xx (GPa),stress_yy (GPa),stress_xy (GPa)
18.25,-0.5,-12.520548671067322,-308.068611012461,308.322936594363,19.151303628673723,-19.08168659927271,0.060615530847019726,-0.6862456821469554
18.5,-0.5,-12.54738728756019,-314.3397064547098,314.59003159950436,17.771829007264362,-17.693638381616537,0.06311361729178588,-0.7068065846769106
18.75,-0.5,-12.57222419348909,-320.62364118789725,320.87003616691425,16.435714100935467,-16.364091604847797,0.057163440070080604,-0.6655204221612636
19.0,-0.5,-12.59509349661957,-326.9193011583147,327.161834342011,15.15852289081552,-15.081448097720015,0.04679066679217461,-0.6771602142468423
19.25,-0.5,-12.616408525948147,-333.22628462907994,333.46503644579326,14.247743557630145,-14.175185520036196,0.06799079186980057,-0.5787334306468492
19.5,-0.5,-12.635918813905691,-339.54281291426923,339.7778513176014,12.782071925757375,-12.717421459179178,0.056452607410936856,-0.537674148346649
19.75,-0.5,-12.653507175124439,-345.86865674146395,346.10004183758133,11.578940172338719,-11.509594214405103,0.05627737403865172,-0.5440093846623208
20.0,-0.5,-12.669474933686228,-352.20280500579275,352.43060515375754,10.52681381971827,-10.458418553891496,0.035068894534662304,-0.5582516992080014
20.25,-0.5,-12.684109680008655,-358.544724510796,358.76901498442857,9.704739818145127,-9.643287103522779,0.043559608978658314,-0.4883547900537729
20.5,-0.5,-12.697230096033579,-364.89309021409673,365.1139369266867,8.558109102749476,-8.489681000480234,0.05639830790866184,-0.46859007496280447
20.75,-0.5,-12.708910839190303,-371.24775632531725,371.46522447101376,7.695309239422885,-7.622613747591855,0.05859137254586645,-0.4630122374855714
21.0,-0.5,-12.719191343203777,-377.6077017798508,377.8218552067704,7.022734970740737,-6.906605497055129,0.07581109092189053,-0.5357289099969454
21.25,-0.5,-12.728808675674452,-383.9726293665498,384.1835533608431,6.245481676927427,-6.187445878032686,0.07410831992477272,-0.25654669764954907
21.5,-0.5,-12.73672092125203,-390.3415820386256,390.54932432183637,5.182917955258291,-5.120804331610568,0.04776794264864452,-0.33002092551489176
21.75,-0.5,-12.743621234038004,-396.7141864546059,396.91881489354523,4.412289360663287,-4.358282645585338,0.02356887112091613,-0.32552629610039246
22.0,-0.5,-12.749442032034954,-403.0899356227667,403.2915130181819,3.947518660782256,-3.855771776719745,0.054784920293866925,-0.36645526393259
22.25,-0.5,-12.754702676781868,-409.4683518295696,409.66695447692297,3.367520207900674,-3.3189832102612526,0.045973728193129525,-0.22773115711780756
